        Frequency / GHz                S1,1 (18)/abs,dB
----------------------------------------------------------------------
                       1                    -0.026974672
                   1.006                       0.1253999
                   1.012                      0.26442521
                   1.018                      0.38703552
                   1.024                      0.49083469
                    1.03                      0.57401042
                   1.036                      0.63526404
               1.0420001                      0.67374501
                   1.048                      0.68901312
                   1.054                      0.68101982
               1.0599999                      0.65009334
                   1.066                      0.59695878
                   1.072                      0.52276488
               1.0779999                      0.42912005
                   1.084                      0.31813835
                    1.09                      0.19248158
                   1.096                     0.055408399
                   1.102                    -0.089225839
                   1.108                     -0.23697466
                   1.114                     -0.38288089
                    1.12                     -0.52162411
                   1.126                     -0.64774441
                   1.132                     -0.75595319
                   1.138                     -0.84150189
               1.1440001                     -0.90056651
                    1.15                     -0.93059565
                   1.156                     -0.93055277
               1.1619999                     -0.90100032
                   1.168                     -0.84401982
                   1.174                     -0.76297499
               1.1799999                     -0.66217421
                   1.186                      -0.5464925
                   1.192                      -0.4210104
                   1.198                      -0.2907171
                   1.204                     -0.16028198
                    1.21                     -0.03391997
                   1.216                     0.084687378
                   1.222                      0.19241686
                   1.228                      0.28668626
                   1.234                      0.36543166
                    1.24                      0.42707169
               1.2460001                      0.47046706
                   1.252                      0.49489553
                   1.258                      0.50002777
               1.2640001                      0.48592453
                    1.27                      0.45302618
                   1.276                      0.40216842
               1.2819999                      0.33459863
                   1.288                      0.25198389
                   1.294                      0.15644654
                     1.3                     0.050556163
                   1.306                     -0.06266132
                   1.312                     -0.17975857
                   1.318                     -0.29692427
                   1.324                     -0.41009177
                    1.33                     -0.51508695
                   1.336                     -0.60782969
                   1.342                     -0.68456601
                   1.348                     -0.74212064
                   1.354                      -0.7781317
                    1.36                     -0.79123511
               1.3660001                     -0.78117135
                   1.372                     -0.74879616
                   1.378                     -0.69598425
               1.3839999                     -0.62545899
                    1.39                     -0.54057051
                   1.396                      -0.4450451
                   1.402                     -0.34275707
                   1.408                        -0.23753
                   1.414                     -0.13298593
                    1.42                    -0.032432422
                   1.426                     0.061200218
                   1.432                      0.14538963
                   1.438                      0.21803901
                   1.444                      0.27746328
                    1.45                      0.32238313
                   1.456                      0.35190805
                   1.462                      0.36552291
               1.4680001                      0.36308171
                   1.474                      0.34479673
                    1.48                      0.31124041
               1.4859999                      0.26334905
                   1.492                      0.20242274
                   1.498                      0.13012787
               1.5039999                     0.048489472
                    1.51                    -0.040123139
                   1.516                     -0.13302592
                   1.522                     -0.22727849
                   1.528                     -0.31975796
                   1.534                     -0.40727116
                    1.54                     -0.48668621
                   1.546                     -0.55508627
                   1.552                     -0.60993893
                   1.558                     -0.64925307
                   1.564                     -0.67170927
               1.5700001                     -0.67675331
                   1.576                     -0.66463082
                   1.582                     -0.63635572
               1.5880001                      -0.5936305
                   1.594                     -0.53871673
                     1.6                     -0.47428019
               1.6059999                     -0.40323261
                   1.612                     -0.32857015
                   1.618                     -0.25324935
                   1.624                     -0.18007276
                    1.63                     -0.11160719
                   1.636                    -0.050132505
                   1.642                    0.0023996685
                   1.648                     0.044385781
                   1.654                     0.074575503
                    1.66                      0.09208181
                   1.666                     0.096380148
               1.6720001                      0.08730776
                   1.678                     0.065065852
                   1.684                      0.03022066
               1.6900001                    -0.016294732
                   1.696                    -0.073182535
                   1.702                     -0.13878415
               1.7079999                     -0.21109459
                   1.714                      -0.2877887
                    1.72                      -0.3662675
                   1.726                      -0.4437177
                   1.732                     -0.51720691
                   1.738                     -0.58379868
                   1.744                     -0.64068432
                    1.75                     -0.68533512
                   1.756                     -0.71565476
                   1.762                     -0.73011628
                   1.768                     -0.72786416
                   1.774                     -0.70877687
                    1.78                     -0.67347465
                   1.786                     -0.62326718
               1.7920001                     -0.56006366
                   1.798                     -0.48624165
                   1.804                     -0.40450361
               1.8099999                     -0.31772494
                   1.816                     -0.22882231
                   1.822                      -0.1406383
               1.8279999                    -0.055849315
                   1.834                     0.023101999
                    1.84                     0.094054046
                   1.846                      0.15515003
                   1.852                      0.20485938
                   1.858                      0.24197865
                   1.864                       0.2656423
                    1.87                      0.27531239
                   1.876                      0.27078451
                   1.882                      0.25219028
                   1.888                      0.21999556
               1.8940001                      0.17500001
                     1.9                      0.11835106
                   1.906                     0.051531136
               1.9119999                    -0.023639473
                   1.918                     -0.10501923
                   1.924                     -0.19017915
               1.9299999                     -0.27643682
                   1.936                     -0.36093689
                   1.942                     -0.44073098
                   1.948                     -0.51290736
                   1.954                     -0.57471249
                    1.96                     -0.62371382
                   1.966                     -0.65793673
                   1.972                     -0.67600286
                   1.978                     -0.67721971
                   1.984                     -0.66164043
                    1.99                     -0.63005148
               1.9960001                     -0.58392503
               2.0020001                     -0.52531224
               2.0079999                     -0.45670999
               2.0139999                     -0.38091915
                    2.02                     -0.30089082
                   2.026                     -0.21959686
               2.0320001                      -0.1399152
               2.0380001                    -0.064540961
               2.0439999                     0.004082013
                    2.05                     0.063795518
                   2.056                      0.11276862
                   2.062                      0.14950172
               2.0680001                      0.17283849
               2.0739999                      0.18196793
               2.0799999                      0.17642084
                   2.086                      0.15608248
                   2.092                       0.1211819
                   2.098                     0.072304754
               2.1040001                      0.01039898
               2.1099999                    -0.063225822
               2.1159999                     -0.14689069
                   2.122                     -0.23854848
                   2.128                     -0.33580595
               2.1340001                     -0.43594828
               2.1400001                     -0.53599679
               2.1459999                     -0.63278536
                   2.152                     -0.72308124
                   2.158                     -0.80371952
                   2.164                     -0.87178312
               2.1700001                     -0.92477635
               2.1760001                     -0.96081014
               2.1819999                      -0.9787535
                   2.188                     -0.97834057
                   2.194                     -0.96021166
                     2.2                     -0.92589192
               2.2060001                     -0.87769555
               2.2119999                     -0.81859089
               2.2179999                     -0.75202514
                   2.224                     -0.68175114
                    2.23                      -0.6116594
               2.2360001                     -0.54563824
               2.2420001                     -0.48746527
               2.2479999                      -0.4407333
               2.2539999                     -0.40880949
                    2.26                     -0.39481909
                   2.266                     -0.40164968
               2.2720001                     -0.43197569
               2.2780001                       -0.488293
               2.2839999                     -0.57296148
                    2.29                     -0.68826298
                   2.296                     -0.83645267
                   2.302                      -1.0198268
               2.3080001                      -1.2407999
