        Frequency / GHz                S1,1 (22)/abs,dB
----------------------------------------------------------------------
                       1                      -0.3053663
                   1.006                     -0.33710225
                   1.012                     -0.36068086
                   1.018                     -0.37534398
                   1.024                     -0.38070191
                    1.03                     -0.37674841
                   1.036                     -0.36386369
               1.0420001                     -0.34277371
                   1.048                     -0.31451196
                   1.054                     -0.28035588
               1.0599999                     -0.24175706
                   1.066                     -0.20026858
                   1.072                     -0.15747897
               1.0779999                     -0.11494942
                   1.084                    -0.074158092
                    1.09                    -0.036459734
                   1.096                   -0.0030510624
                   1.102                     0.025055467
                   1.108                     0.047048917
                   1.114                     0.062331279
                    1.12                     0.070521536
                   1.126                     0.071458801
                   1.132                     0.065203884
                   1.138                     0.052033207
               1.1440001                     0.032429846
                    1.15                    0.0070730507
                   1.156                    -0.023175576
               1.1619999                    -0.057293758
                   1.168                    -0.094127091
                   1.174                     -0.13241631
               1.1799999                     -0.17084272
                   1.186                     -0.20806959
                   1.192                     -0.24278811
                   1.198                     -0.27377927
                   1.204                     -0.29995523
                    1.21                     -0.32041478
                   1.216                     -0.33448152
                   1.222                     -0.34173485
                   1.228                     -0.34203056
                   1.234                     -0.33549983
                    1.24                     -0.32254278
               1.2460001                     -0.30379933
                   1.252                     -0.28011581
                   1.258                     -0.25249841
               1.2640001                     -0.22206775
                    1.27                     -0.19000457
                   1.276                      -0.1575062
               1.2819999                     -0.12574081
                   1.288                    -0.095808133
                   1.294                    -0.068705071
                     1.3                     -0.04530544
                   1.306                    -0.026332043
                   1.312                    -0.012348725
                   1.318                   -0.0037452373
                   1.324                  -0.00073432033
                    1.33                   -0.0033501081
                   1.336                    -0.011447163
                   1.342                    -0.024710577
                   1.348                    -0.042658466
                   1.354                    -0.064662731
                    1.36                    -0.089956837
               1.3660001                     -0.11766741
                   1.372                     -0.14683203
                   1.378                     -0.17643022
               1.3839999                     -0.20542322
                    1.39                     -0.23278858
                   1.396                     -0.25755321
                   1.402                     -0.27884203
                   1.408                     -0.29590621
                   1.414                     -0.30816108
                    1.42                     -0.31520469
                   1.426                     -0.31684085
                   1.432                     -0.31308095
                   1.438                     -0.30414433
                   1.444                     -0.29044068
                    1.45                     -0.27255211
                   1.456                     -0.25120149
                   1.462                     -0.22722151
               1.4680001                     -0.20151585
                   1.474                     -0.17502468
                    1.48                     -0.14868997
               1.4859999                     -0.12342044
                   1.492                     -0.10006876
                   1.498                    -0.079403574
               1.5039999                    -0.062089641
                    1.51                    -0.048676667
                   1.516                    -0.039584055
                   1.522                    -0.035097439
                   1.528                    -0.035364413
                   1.534                    -0.040390196
                    1.54                    -0.050051331
                   1.546                     -0.06408651
                   1.552                    -0.082117619
                   1.558                     -0.10365816
                   1.564                      -0.1281243
               1.5700001                      -0.1548583
                   1.576                     -0.18314096
                   1.582                     -0.21222242
               1.5880001                     -0.24133748
                   1.594                      -0.2697394
                     1.6                     -0.29671889
               1.6059999                     -0.32162988
                   1.612                     -0.34391386
                   1.618                     -0.36311577
                   1.624                     -0.37889805
                    1.63                     -0.39105333
                   1.636                     -0.39950376
                   1.642                     -0.40429993
                   1.648                     -0.40561035
                   1.654                     -0.40371004
                    1.66                     -0.39896186
                   1.666                     -0.39179423
               1.6720001                      -0.3826794
                   1.678                     -0.37211072
                   1.684                     -0.36057996
               1.6900001                      -0.3485554
                   1.696                      -0.3364638
                   1.702                     -0.32468053
               1.7079999                      -0.3135092
                   1.714                     -0.30317961
                    1.72                     -0.29384005
                   1.726                     -0.28556362
                   1.732                     -0.27833888
                   1.738                     -0.27208911
                   1.744                     -0.26667173
                    1.75                     -0.26189565
                   1.756                     -0.25753138
                   1.762                      -0.2533308
                   1.768                     -0.24903577
                   1.774                     -0.24440129
                    1.78                     -0.23920954
                   1.786                     -0.23328151
               1.7920001                     -0.22649174
                   1.798                     -0.21877824
                   1.804                     -0.21014813
               1.8099999                     -0.20067903
                   1.816                     -0.19052011
                   1.822                     -0.17988755
               1.8279999                     -0.16905468
                   1.834                     -0.15834411
                    1.84                     -0.14811011
                   1.846                     -0.13872743
                   1.852                     -0.13057177
                   1.858                     -0.12400507
                   1.864                     -0.11935758
                    1.87                      -0.1169121
                   1.876                     -0.11689143
                   1.882                     -0.11944343
                   1.888                     -0.12463215
               1.8940001                     -0.13242998
                     1.9                     -0.14271147
                   1.906                     -0.15525566
               1.9119999                      -0.1697422
                   1.918                     -0.18576432
                   1.924                     -0.20283232
               1.9299999                     -0.22038984
                   1.936                     -0.23783291
                   1.942                     -0.25453012
                   1.948                     -0.26984474
                   1.954                      -0.2831642
                    1.96                     -0.29392473
                   1.966                     -0.30164308
                   1.972                      -0.3059377
                   1.978                     -0.30655117
                   1.984                     -0.30337017
                    1.99                     -0.29643801
               1.9960001                     -0.28595189
               2.0020001                      -0.2722698
               2.0079999                     -0.25589285
